No,Page URL,Catagory Tree,Brand Name,Product Name,Description,Listed Price,Discounted Price,Off,Save,Offer,SKU,Manufacturer Number
11,https://www.jarir.com/sa-en/astro-a50-renewed-headsets-636434.html,Sony PS5 Accessories>Renewed Grade B Astro A50 + Gen 4 Gaming Headset,Astro,Renewed Grade B Astro A50 + Gen 4 Gaming Headset,Wireless/Wired (Optional)| 3.5 mm Connector/USB (Charging)| Unidirectional Microphone| Black,1199,849,29%,350,,636434,939001676RB
12,https://www.jarir.com/sa-en/logitech-g-pro-x-renewed-headsets-638225.html,PC Gaming Headset & Speakers>Renewed Grade B Logitech G Pro X Gaming Headset,Logitech,Renewed Grade B Logitech G Pro X Gaming Headset,Wired| USB| Detachable Microphone| Black,629,279,55%,350,,638225,981000818RB
13,https://www.jarir.com/sa-en/steelseries-arctis-7-renewed-headsets-636706.html,Sony PS5 Accessories>Renewed Grade A SteelSeries Arctis 7+ Gaming Headset,SteelSeries,Renewed Grade A SteelSeries Arctis 7+ Gaming Headset,Noise Cancelling Microphone| Wireless/Wired (Optional)| USB| Retractable Microphone| White,869,599,31%,270,,636706,61471RA
14,https://www.jarir.com/sa-en/astro-a10-renewed-headsets-639870.html,PC Gaming Headset & Speakers>Renewed Grade B Astro A10 Gaming Headset,Astro,Renewed Grade B Astro A10 Gaming Headset,Wired| 3.5 mm Connector| Rotating Microphone| Ozone Grey,349,99,71%,250,,639870,939002071RB
15,https://www.jarir.com/sa-en/astro-a10-renewed-headsets-639868.html,PC Gaming Headset & Speakers>Renewed Grade A Astro A10 Gaming Headset,Astro,Renewed Grade A Astro A10 Gaming Headset,Wired| 3.5 mm Connector| Rotating Microphone| Ozone Grey,349,99,71%,250,,639868,939002071RA
16,https://www.jarir.com/sa-en/astro-a10-renewed-headsets-639864.html,Sony PS5 Accessories>Renewed Grade A Astro A10 Gaming Headset,Astro,Renewed Grade A Astro A10 Gaming Headset,Wired| 3.5 mm Connector| Rotating Microphone| Challenger White,349,99,71%,250,,639864,939002064RA
17,https://www.jarir.com/sa-en/astro-a10-renewed-headsets-639863.html,Sony PS5 Accessories>Renewed Grade B Astro A10 Gaming Headset,Astro,Renewed Grade B Astro A10 Gaming Headset,Wired| 3.5 mm Connector| Rotating Microphone| Salvage Black,349,99,71%,250,,639863,939002057RB
18,https://www.jarir.com/sa-en/steelseries-arctis-nova-1p-renewed-headsets-641436.html,Sony PS5 Accessories>Renewed Grade B SteelSeries Arctis Nova 1P Gaming Headset,SteelSeries,Renewed Grade B SteelSeries Arctis Nova 1P Gaming Headset,Noise Cancelling Microphone| Wired| 3.5 mm Connector| Retractable Microphone| White,339,99,70%,240,,641436,61612RB
19,https://www.jarir.com/sa-en/microsoft-xbox-wireless-renewed-headsets-650812.html,Xbox Accessories>Renewed Grade B Microsoft Xbox Wireless Gaming Headset,Microsoft,Renewed Grade B Microsoft Xbox Wireless Gaming Headset,Wireless| USB-C (Charging)| Rotating Microphone| Black,479,249,48%,230,,650812,TLL00027RB
20,https://www.jarir.com/sa-en/sony-inzone-h3-renewed-headsets-639848.html,Sony PS5 Accessories>Renewed Grade B Sony INZONE H3 Gaming Headset,Sony,Renewed Grade B Sony INZONE H3 Gaming Headset,Active Noise Cancelling| Wired| 3.5 mm Connector/USB| Unidirectional Microphone| White/Black,269,79,70%,190,,639848,MDRG300RB
21,https://www.jarir.com/sa-en/microsoft-xbox-wireless-renewed-headsets-650700.html,Xbox Accessories>Renewed Grade A Microsoft Xbox Wireless Gaming Headset,Microsoft,Renewed Grade A Microsoft Xbox Wireless Gaming Headset,Wireless| USB-C (Charging)| Rotating Microphone| Black,479,299,37%,180,,650700,TLL00027RA
22,https://www.jarir.com/sa-en/techpick-hp912w-renewed-headsets-641572.html,PC Gaming Headset & Speakers>Renewed Grade B Techpick HP912W Gaming Headset,Techpick,Renewed Grade B Techpick HP912W Gaming Headset,Wireless| Rotating Microphone| Black,199,49,75%,150,,641572,HP912WRB
23,https://www.jarir.com/sa-en/techpick-hp912w-renewed-headsets-641484.html,PC Gaming Headset & Speakers>Renewed Grade A Techpick HP912W Gaming Headset,Techpick,Renewed Grade A Techpick HP912W Gaming Headset,Wireless| Rotating Microphone| Black,199,99,50%,100,,641484,HP912WRA
24,https://www.jarir.com/sa-en/techpick-hp913b-renewed-headsets-650800.html,PC Gaming Headset & Speakers>Renewed Grade B Techpick HP913B Gaming Headset,Techpick,Renewed Grade B Techpick HP913B Gaming Headset,Wireless| USB-C| Detachable Microphone| Black,199,99,50%,100,,650800,HP913WRB
25,https://www.jarir.com/sa-en/techpick-hp802-renewed-headsets-639919.html,PC Gaming Headset & Speakers>Renewed Grade B Techpick HP802 Gaming Headset,Techpick,Renewed Grade B Techpick HP802 Gaming Headset,Wired| 3.5 mm Connector/USB (for Illumination)| Omnidirectional Microphone| Black,119,29,75%,90,,639919,HP802RB
26,https://www.jarir.com/sa-en/marvo-scorpion-h8618-rgb-renewed-headsets-640568.html,PC Gaming Headset & Speakers>Renewed Grade B MARVO Scorpion H8618 RGB Gaming Headset,MARVO,Renewed Grade B MARVO Scorpion H8618 RGB Gaming Headset,Wired| USB| Omnidirectional Microphone| White,99,29,70%,70,,640568,HG8618WHRB
27,https://www.jarir.com/sa-en/techpick-hp802-renewed-headsets-639916.html,PC Gaming Headset & Speakers>Renewed Grade A Techpick HP802 Gaming Headset,Techpick,Renewed Grade A Techpick HP802 Gaming Headset,Wired| 3.5 mm Connector/USB (for Illumination)| Omnidirectional Microphone| Black,119,59,50%,60,,639916,HP802RA
